available;categoryId;currencyId;delivery;description;id;modified_time;name;oldprice;pickup;picture;price;shop-sku;type;url;vendor;vendorCode;weight
true;Мебель для ванной/Мебель 40 - 50 см;RUB;true;;225836;1657693026;Тумба белый глянец/ясень шимо 44,7 см Акватон Вита 1A221401VTD70;;true;https://santehmoll.ru/wa-data/public/shop/products/36/58/225836/images/386839/386839.970.jpg;7510.00;1A221401VTD70;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F1a221401vtd70%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Акватон;1A221401VTD70;9.680
true;Сантехника/Смесители/Универсальные;RUB;true;;215841;1657693026;Смеситель для ванны Agger Exact A2121100;7090.00;true;https://santehmoll.ru/wa-data/public/shop/products/41/58/215841/images/221567/221567.970.jpg;5090.00;A2121100;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fagger_exact_a2121100_odnozakhvatnyy_smesitel_dlya_vanny_dusha_s_dlinnym_povorotnym_izlivom_350_mm_ker%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Agger;A2121100;
true;Сантехника/Ванны;RUB;true;;210172;1657693026;Стальная ванна 190х90 см Kaldewei Puro 696 с покрытием Easy-Clean;190603.00;true;https://santehmoll.ru/wa-data/public/shop/products/72/01/210172/images/271996/271996.970.jpg;139384.00;259600013001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpuro_mod_696_190kh90_sm_v_o%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;259600013001;65.800
true;Мебель для ванной/Зеркала для ванной комнаты;RUB;true;;210718;1657693026;Зеркало 45,4х73,6 см венге/северное дерево светлое Sanflor Толедо H0000001257;;true;https://santehmoll.ru/wa-data/public/shop/products/18/07/210718/images/208508/208508.970.jpg;6655.00;H0000001257;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fzerkalo_toledo_50_v_sds_%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Sanflor;H0000001257;9.000
true;Сантехника/Душевая/Душевые гарнитуры;RUB;true;;213613;1657693026;Душевой гарнитур Ideal Standard IdealRain EVO Diamond L3 B2238AA;;true;https://santehmoll.ru/wa-data/public/shop/products/13/36/213613/images/215522/215522.970.jpg;9926.00;B2238AA;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fidealrain_dushevoy_garnitur_so_shtangoy_evo_diamond_l3_diametr_leyki_110_mm_kolichestvo_funkciy_3_2%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Ideal Standard;B2238AA;1.850
true;Сантехника/Ванны;RUB;true;;211793;1657693026;Панель фронтальная 170 см Am.Pm Like W80A-170-070W-P;;true;https://santehmoll.ru/wa-data/public/shop/products/93/17/211793/images/661305/661305.970.jpg;8290.00;W80A-170-070W-P;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fw80a_170_070w_p_like_panel_frontalnaya_dlya_vanny_like_a0_170kh70_sm_sht%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Am.Pm;W80A-170-070W-P;3.460
true;Сантехника/Ванны;RUB;true;;211764;1657693026;Панель фронтальная 150 см Am.Pm Like W80A-150-070W-P;;true;https://santehmoll.ru/wa-data/public/shop/products/64/17/211764/images/661294/661294.970.jpg;8390.00;W80A-150-070W-P;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fw80a_150_070w_p_like_panel_frontalnaya_dlya_vanny_like_a0_150kh70_sm_sht%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Am.Pm;W80A-150-070W-P;2.320
true;Сантехника/Ванны;RUB;true;;211765;1657693026;Акриловая ванна 150х70 см Am.Pm Like W80A-150-070W-A;;true;https://santehmoll.ru/wa-data/public/shop/products/65/17/211765/images/661286/661286.970.jpg;32290.00;W80A-150-070W-A;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fw80a_150_070w_a_like_vanna_akrilovaya_a0_150kh70_sm_sht%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Am.Pm;W80A-150-070W-A;15.000
true;Сантехника/Санфаянс;RUB;true;;206790;1657693026;Подвесной унитаз Duravit Happy D.2 2221090000;;true;https://santehmoll.ru/wa-data/public/shop/products/90/67/206790/images/209207/209207.970.jpg;75103.00;2221090000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F2221090000_unitaz_podvesnoy_belyy_duravit_happy%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Duravit;2221090000;25.800
true;Сантехника/Санфаянс;RUB;true;;208809;1657693026;Биде напольное Am.Pm Inspire C503111WH;40690.00;true;https://santehmoll.ru/wa-data/public/shop/products/09/88/208809/images/203506/203506.970.jpg;20990.00;C503111WH;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fc503111wh_inspire_bide_napolnoe%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Am.Pm;C503111WH;23.000
true;Мебель для ванной/Зеркала для ванной комнаты;RUB;true;;207652;1657693026;Зеркало 60х79,8 см дуб сонома Aqwella Foster FOS0206DS;11340.00;true;https://santehmoll.ru/wa-data/public/shop/products/52/76/207652/images/263337/263337.970.jpg;8618.00;FOS0206DS;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Ffoster_panel_s_zerkalom_i_svetilnikom_cvet_dub_sonoma_fos0206ds_tm_aqwella_%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Aqwella;FOS0206DS;11.800
